"A1" "A2" "A3" "B1" "B2" "B3"
"199870" 801 812 831 879 851 908
"23673" 3544 3788 3279 4037 4918 5246
"5511" 1407 1240 1325 1742 2001 2139
"677774" 2 0 2 0 0 1
"9473" 31310 27388 26646 5813 7243 8028
"6118" 588 555 591 1309 1468 1747
"27293" 19 16 43 0 2 8
"55113" 5850 3338 7054 639 581 763
"2140" 269 351 358 695 733 840
"653566" 71 152 146 148 135 230
"5724" 2778 10123 7708 10644 11950 13272
"22826" 2868 2194 1911 4700 5641 5763
"93974" 972 716 703 1769 2353 2547
"83667" 5417 2285 2109 3675 3999 3935
"54797" 90 147 185 997 1165 1318
"65979" 1738 2727 2235 2608 2569 2800
"8420" 2010 1558 1418 1039 839 1145
"1104" 724 782 588 1502 1554 1968
"6080" 17 1 17 13 26 28
"26768" 20 16 7 27 17 17
"54952" 367 373 347 808 1011 1169
"85028" 326 205 111 1015 1051 1037
"692212" 0 3 8 17 14 14
"677838" 1 8 6 135 136 150
"677825" 11 0 4 92 70 137
"692073" 6 4 0 71 83 58
"115273" 0 4 5 525 751 752
"6883" 504 333 233 909 903 1234
"26824" 0 6 2 6 1 0
"10691" 646 545 838 423 563 563
"51441" 4006 2608 3771 3805 4389 4757
"4985" 0 0 0 0 0 0
"2035" 2822 3069 3192 1478 1820 2424
"399474" 0 0 0 2 4 0
"6429" 4628 5608 6947 3670 3914 4309
"51102" 100 52 56 457 553 758
"10076" 29 28 10 170 179 197
"100288450" 0 0 0 0 0 0
"4146" 16 12 11 12 0 14
"100129196" 50 50 22 27 35 42
"7805" 203229 107446 107727 188266 171653 218935
"9672" 738 1097 949 3768 5617 4869
"9698" 4180 4037 5049 4411 4888 5023
"692234" 12 5 18 11 6 5
"692235" 5 10 5 12 0 15
"692200" 0 0 0 0 0 2
"28997" 62 55 90 6 19 3
"79570" 0 0 0 6 8 2
"9410" 556 620 569 1192 1144 1461
"51538" 481 495 435 1229 1160 1430
"2170" 12 11 15 3046 4371 5710
"347735" 1100 569 401 4047 4838 5829
"149086" 0 0 0 0 0 0
"284551" 2 0 0 0 0 0
"64129" 20 10 6 0 4 4
"3061" 29 50 14 6 0 0
"553115" 935 791 676 2618 2929 3675
"1307" 4 0 2 0 4 0
"576" 13 16 0 0 0 0
"100423028" 0 0 0 0 0 0
"90853" 0 0 0 5740 5535 10724
"8073" 55901 32870 36902 11417 11127 14649
"100507229" 123 194 198 45 76 82
"10657" 8108 6977 5869 5686 6473 7139
"55116" 512 895 890 482 666 662
"23633" 4479 4121 6054 3732 3959 4506
"200081" 1693 1636 2726 5928 7089 7121
"79140" 87 111 118 67 110 136
"55721" 62 72 88 138 178 162
"149069" 25 19 17 80 84 97
"100507457" 21 41 18 82 45 79
"56063" 134 179 66 387 365 414
"8668" 5945 3382 3516 4707 5477 7230
"339483" 33 30 44 440 199 132
"84734" 8 1 4 4 2 0
"3932" 282 285 114 44 12 2
"3065" 2979 2847 2857 2881 3380 3673
"65108" 5649 2042 2743 366 253 290
"100128071" 245 332 292 83 124 185
"81629" 575 490 592 237 251 285
"55108" 2354 1894 2057 3445 3131 3796
"728116" 0 0 0 0 0 0
"653121" 31 28 20 391 335 447
"339487" 269 281 266 615 750 958
"5928" 2191 2598 3242 3917 4432 5687
"81493" 0 0 0 248 250 489
"57648" 585 646 565 4714 3855 3529
"8565" 2348 2562 2884 5766 6829 8848
"64766" 411 518 752 651 828 1039
"252995" 0 0 6 2 7 8
"3208" 0 0 0 0 0 4
"113452" 0 18 0 12 8 26
"127544" 5932 3381 4100 2742 2949 3420
"100505584" 0 4 6 2 6 4
"204" 1908 2038 1678 3280 3912 4851
"113451" 26 13 0 29 16 28
"55223" 1352 1403 2032 300 320 362
"149076" 1354 1906 1387 1444 1576 1674
"1912" 10630 7289 7210 6045 6299 7054
"7579" 8 4 12 153 174 143
"114784" 0 0 0 1 1 0
"127540" 0 0 0 0 0 0
"84970" 0 0 0 0 0 0
"693137" 0 0 0 0 0 0
"2709" 0 0 0 5 8 10
"127534" 0 0 15 8 0 0
"2707" 0 0 0 2 0 2
"2701" 0 0 0 4 6 10
"113444" 1420 1320 1137 2424 2630 3225
"58512" 119 116 73 118 175 139
"100506144" 280 181 236 1084 1111 1223
"9204" 3874 5795 4901 1682 1783 2210
"79830" 72 141 107 402 560 498
"100506168" 11093 14990 18723 3612 4437 4936
"6421" 23169 21375 28415 8968 10257 11636
"9202" 1923 2146 2308 2424 2983 3247
"79932" 1819 1636 2283 2674 3112 3695
"23154" 216 172 309 1656 1514 1788
"339488" 118 129 163 82 100 145
"5690" 1791 1553 1413 3533 3816 4561
"127703" 353 206 410 1406 1574 1944
"63967" 27 28 94 224 290 567
